,probe_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_symbol
163,222538_s_at,-1.171836064,5.876270884,-4.786484611,4.10E-06,0.000159605,3.969215547,APPL1
164,208328_s_at,-1.171654948,6.236538761,-4.533271531,1.20E-05,0.000304489,2.961650538,MEF2A
165,238040_at,1.170920629,6.04351495,4.893253005,2.58E-06,0.000119038,4.40594577,NA
166,227152_at,-1.170496999,6.178776741,-3.909644664,0.000140839,0.00160058,0.660017505,RESF1
167,1558279_a_at,-1.169886983,4.702657144,-5.24345662,5.40E-07,4.92E-05,5.885635243,KDSR
168,225106_s_at,-1.167336286,7.08920572,-4.475412419,1.52E-05,0.000358048,2.737139351,OGFOD1
169,222689_at,-1.166807376,5.721418545,-5.566125416,1.21E-07,2.21E-05,7.309609315,ACER3
170,1555460_a_at,-1.161761409,5.867885323,-3.145511207,0.002007908,0.011087887,-1.777542216,SLC39A6
171,1564378_a_at,-1.161670454,5.23450832,-4.609640824,8.70E-06,0.000249949,3.261279445,NA
172,209127_s_at,-1.160701376,6.892678101,-6.944151889,1.15E-10,1.09E-06,13.95008971,SART3
173,209485_s_at,-1.159916806,7.685030947,-4.351942194,2.52E-05,0.000491021,2.265343148,OSBPL1A
174,218318_s_at,-1.15985566,5.299214203,-5.378984124,2.90E-07,3.55E-05,6.476899302,NLK
175,228729_at,-1.159266615,6.651713745,-3.608122379,0.000422372,0.003493446,-0.354609748,CCNB1
176,209406_at,-1.156565008,6.650596221,-3.994909541,0.000102075,0.001277689,0.95888994,BAG2
177,219239_s_at,-1.156374641,5.292547165,-4.813549058,3.65E-06,0.000148866,4.079266237,ZNF654
178,214349_at,1.155369159,4.713196303,3.605010222,0.000427045,0.003526461,-0.364731524,NA
179,229580_at,-1.151750394,5.852424302,-6.24869479,4.26E-09,4.66E-06,10.49486492,CLSTN2
180,202902_s_at,-1.151479619,5.148563871,-4.767436715,4.45E-06,0.000167466,3.892031029,CTSS
181,222457_s_at,-1.151381783,8.854902959,-4.74146832,4.98E-06,0.000178768,3.787163338,LIMA1
182,235019_at,-1.150738573,7.177259485,-2.647005005,0.009008365,0.034505561,-3.118786926,CPM
183,204544_at,-1.148516808,6.983404284,-4.500565754,1.37E-05,0.000335251,2.83447602,HPS5
